NAME,P0,P1
B1030-58,0.464213,1.8e-15
J1034-3224,1.150591,2.3e-16
J1034-5817,0.79148,
J1034-5934,0.034471,
J1035-6345,0.579577,3.5e-16
J1035-6720,0.002872,4.65e-20
J1036-4353,0.00168,6.3800000000000005e-21
J1036-4926,0.51037,1.65e-15
J1036-6559,0.533502,1.36e-15
J1036-8317,0.003408,
J1038+0032,0.028852,6.7e-20
B1036-58,0.661993,1.26e-15
J1039-6108,0.271553,
J1039-6208,1.246563,
B1039-19,1.386369,9.45e-16
B1039-55,1.170868,6.72e-15
J1043-6116,0.288605,1.04e-14
J1044-5737,0.139029,5.46e-14
J1045-0436,0.024048,7.86e-20
J1045-4509,0.007474,1.77e-20
J1046+0304,0.326271,1.24e-16
B1044-57,0.369428,1.15e-15
J1047-3032,0.330328,6.1e-17
J1047-6709,0.198453,1.69e-15
J1048+2339,0.004665,3.01e-20
J1048+5349,2.730862,1.22e-15
B1046-58,0.12374,9.61e-14
J1048-5838,1.231305,1.22e-14
J1049+5822,0.727618,3.91e-15
J1049-5833,2.202328,4.37e-15
J1050-5953,6.452077,3.81e-11
J1051-6214,1.14605,
J1052-5954,0.180592,2e-14
J1052-6348,0.38383,3.87e-16
J1054-5943,0.346909,4.07e-15
J1054-5946,0.228324,2.09e-16
J1054-6452,1.840004,3.14e-15
J1055-6022,0.947558,9.24e-14
J1055-6028,0.099661,2.95e-14
J1055-6236,0.448635,7.08e-16
J1055-6905,2.919397,2.03e-14
J1056-5709,0.676082,5.76e-16
B1054-62,0.422451,3.58e-15
J1056-7117,0.02631,6.3e-20
J1057-4754,0.628306,2.25e-16
B1055-52,0.197116,5.84e-15
J1057-5851,0.620365,1.01e-13
B1056-78,1.347404,1.33e-15
J1058-5957,0.616271,6.51e-16
J1059+6459,3.63117,5.74e-15
B1056-57,1.185003,4.31e-15
J1101-6101,0.0628,8.56e-15
J1101-6424,0.005109,1.8000000000000003e-21
J1102+02,0.00405,
J1103-5403,0.003393,3.6800000000000004e-21
J1103-6025,0.396587,9.9e-16
J1104-6103,0.280905,1.97e-15
J1105+02,6.403055,1.43e-15
J1105+37,0.875,
J1105-4353,0.351112,2.5e-15
J1105-6037,0.194938,2.18e-14
J1105-6107,0.063202,1.58e-14
J1106-6438,2.717934,2.33e-15
J1107-5907,0.252773,9.01e-18
B1105-59,1.516531,3.4e-16
J1107-6143,1.799396,1.56e-13
J1108-6329,0.004278,
J1110+58,0.79335,
B1107-56,0.558254,2.06e-15
J1111-6039,0.106689,1.96e-13
J1112-6103,0.064962,3.15e-14
B1110-65,0.334214,8.23e-16
B1110-69,0.820488,2.82e-15
B1112-60,0.880865,4.6e-14
B1112+50,1.65644,2.49e-15
J1115-0956,1.310894,3.47e-17
J1115-6052,0.259782,7.23e-15
J1116-2444,0.867949,9.85e-16
B1114-41,0.943165,7.97e-15
J1117-6154,0.505106,1.25e-14
J1117-6447,1.155272,2.4e-16
J1119-6127,0.407963,4.02e-12
B1118-79,2.280602,3.68e-15
